Column1	title	year	rating	metascore	gross	hyperlink	country	Column2	budget	awards	award wins	award nominations	duration	rating-metascore	revenue	genre1	genre2	genre3
468	Mary Poppins	1964	78	88	102270000	https://www.imdb.com/title/tt0058331/?ref_=adv_li_i	USA		6000000	Won 5 Oscars.	5	0	2h 19min	10.00	96270000.00	Comedy	 Family	 Fantasy
565	A Hard Day's Night	1964	77	96	13780000	https://www.imdb.com/title/tt0058182/?ref_=adv_li_i	UK		560000	Nominated for 2 Oscars.	0	2	1h 27min	19.00	13220000.00	Comedy	 Music	 Musical
566	Goldfinger	1964	77	87	51080000	https://www.imdb.com/title/tt0058150/?ref_=adv_li_i	UK		3000000	Won 1 Oscar.	1	0	1h 50min	10.00	48080000.00	Action	 Adventure	 Thriller
64	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	84	96	280000	https://www.imdb.com/title/tt0057012/?ref_=adv_li_i	USA		1800000	Nominated for 4 Oscars.	0	4	1h 35min	12.00	-1520000.00	Comedy		
279	A Fistful of Dollars	1964	80	65	14500000	https://www.imdb.com/title/tt0058461/?ref_=adv_li_i	Italy		200000	1 win & 2 nominations.	1	2	1h 39min	15.00	14300000.00	Western		
277	The Sound of Music	1965	80	63	163210000	https://www.imdb.com/title/tt0059742/?ref_=adv_li_i	USA		8200000	Won 5 Oscars.	5	0	2h 52min	17.00	155010000.00	Biography	 Drama	 Family
278	Doctor Zhivago	1965	80	69	111720000	https://www.imdb.com/title/tt0059113/?ref_=adv_li_i	USA		11000000	Won 5 Oscars.	5	0	3h 17min	11.00	100720000.00	Drama	 Romance	 War
86	For a Few Dollars More	1965	83	74	15000000	https://www.imdb.com/title/tt0059578/?ref_=adv_li_i	Italy		600000	1 nomination.	0	1	2h 12min	9.00	14400000.00	Western		
197	The Battle of Algiers	1966	81	95	60000	https://www.imdb.com/title/tt0058946/?ref_=adv_li_i	Italy		800000	Nominated for 3 Oscars.	0	3	2h 1min	14.00	-740000.00	Drama	 War	
7	"The Good, the Bad and the Ugly"	1966	89	90	6100000	https://www.imdb.com/title/tt0060196/?ref_=adv_li_i	Italy		1200000	1 win & 3 nominations.	1	3	2h 58min	1.00	4900000.00	Western		
670	The Jungle Book	1967	76	65	141840000	https://www.imdb.com/title/tt0061852/?ref_=adv_li_i	USA		4000000	Nominated for 1 Oscar.	0	1	1h 18min	11.00	137840000.00	Animation	 Adventure	 Family
275	In the Heat of the Night	1967	80	75	24380000	https://www.imdb.com/title/tt0061811/?ref_=adv_li_i	USA		2000000	Won 5 Oscars.	5	0	1h 50min	5.00	22380000.00	Crime	 Drama	 Mystery
276	The Graduate	1967	80	77	104950000	https://www.imdb.com/title/tt0061722/?ref_=adv_li_i	USA		3000000	Won 1 Oscar.	1	0	1h 46min	3.00	101950000.00	Comedy	 Drama	 Romance
467	The Dirty Dozen	1967	78	73	45300000	https://www.imdb.com/title/tt0061578/?ref_=adv_li_i	UK		5400000	Won 1 Oscar.	1	0	2h 30min	5.00	39900000.00	Action	 Adventure	 War
466	Guess Who's Coming to Dinner	1967	78	63	56700000	https://www.imdb.com/title/tt0061735/?ref_=adv_li_i	USA		4000000	Won 2 Oscars.	2	0	1h 48min	15.00	52700000.00	Comedy	 Drama	
563	The Producers	1967	77	96	110000	https://www.imdb.com/title/tt0063462/?ref_=adv_li_i	USA		941000	Won 1 Oscar.	1	0	1h 28min	19.00	-831000.00	Comedy	 Music	
85	2001: A Space Odyssey	1968	83	82	56950000	https://www.imdb.com/title/tt0062622/?ref_=adv_li_i	UK		12000000	Won 1 Oscar.	1	0	2h 29min	1.00	44950000.00	Adventure	 Sci-Fi	
274	Planet of the Apes	1968	80	79	33400000	https://www.imdb.com/title/tt0063442/?ref_=adv_li_i	USA		5800000	Nominated for 2 Oscars.	0	2	1h 52min	1.00	27600000.00	Adventure	 Sci-Fi	
564	The Odd Couple	1968	77	86	44530000	https://www.imdb.com/title/tt0063374/?ref_=adv_li_i	USA		1200000	Nominated for 2 Oscars.	0	2	1h 45min	9.00	43330000.00	Comedy		
356	Night of the Living Dead	1968	79	89	90000	https://www.imdb.com/title/tt0063350/?ref_=adv_li_i	USA		114000	3 wins.	3	0	1h 36min	10.00	-24000.00	Horror		
45	Once Upon a Time in the West	1968	85	80	5320000	https://www.imdb.com/title/tt0064116/?ref_=adv_li_i	Italy		5000000	4 wins & 5 nominations.	4	5	2h 45min	5.00	320000.00	Western		
196	Butch Cassidy and the Sundance Kid	1969	81	66	102310000	https://www.imdb.com/title/tt0064115/?ref_=adv_li_i	USA		6000000	Won 4 Oscars.	4	0	1h 50min	15.00	96310000.00	Biography	 Crime	 Drama
355	Midnight Cowboy	1969	79	79	44790000	https://www.imdb.com/title/tt0064665/?ref_=adv_li_i	USA		3600000	Won 3 Oscars.	3	0	1h 53min	0.00	41190000.00	Drama		
669	Little Big Man	1970	76	63	31560000	https://www.imdb.com/title/tt0065988/?ref_=adv_li_i	USA		15000000	Nominated for 1 Oscar.	0	1	2h 19min	13.00	16560000.00	Adventure	 Comedy	 Drama
273	Patton	1970	80	91	61700000	https://www.imdb.com/title/tt0066206/?ref_=adv_li_i	USA		12000000	Won 7 Oscars.	7	0	2h 52min	11.00	49700000.00	Biography	 Drama	 War
668	MASH	1970	76	80	81600000	https://www.imdb.com/title/tt0066026/?ref_=adv_li_i	USA		3500000	Won 1 Oscar.	1	0	1h 56min	4.00	78100000.00	Comedy	 Drama	 War
465	Willy Wonka &amp; the Chocolate Factory	1971	78	67	4000000	https://www.imdb.com/title/tt0067992/?ref_=adv_li_i	USA		3000000	Nominated for 1 Oscar.	0	1	1h 40min	11.00	1000000.00	Family	 Fantasy	 Musical
195	The Last Picture Show	1971	81	93	29130000	https://www.imdb.com/title/tt0067328/?ref_=adv_li_i	USA		1300000	Won 2 Oscars.	2	0	1h 58min	12.00	27830000.00	Drama		
666	Jeremiah Johnson	1972	76	75	47740000	https://www.imdb.com/title/tt0068762/?ref_=adv_li_i	USA		3100000	1 win & 1 nomination.	1	1	1h 48min	1.00	44640000.00	Adventure	 Drama	 Western
1	The Godfather	1972	92	100	134970000	https://www.imdb.com/title/tt0068646/?ref_=adv_li_i	USA		6000000	Won 3 Oscars.	3	0	2h 55min	8.00	128970000.00	Crime	 Drama	
464	Cabaret	1972	78	80	42770000	https://www.imdb.com/title/tt0068327/?ref_=adv_li_i	USA		6000000	Won 8 Oscars.	8	0	2h 4min	2.00	36770000.00	Drama	 Musical	
354	The Discreet Charm of the Bourgeoisie	1972	79	93	200000	https://www.imdb.com/title/tt0068361/?ref_=adv_li_i	France		800000	Won 1 Oscar.	1	0	1h 42min	14.00	-600000.00	Comedy		
562	Enter the Dragon	1973	77	83	25000000	https://www.imdb.com/title/tt0070034/?ref_=adv_li_i	Hong Kong		850000	1 win.	1	0	1h 42min	6.00	24150000.00	Action	 Crime	 Drama
462	Serpico	1973	78	87	29800000	https://www.imdb.com/title/tt0070666/?ref_=adv_li_i	USA		3000000	Nominated for 2 Oscars.	0	2	2h 10min	9.00	26800000.00	Biography	 Crime	 Drama
84	The Sting	1973	83	80	159600000	https://www.imdb.com/title/tt0070735/?ref_=adv_li_i	USA		5500000	Won 7 Oscars.	7	0	2h 9min	3.00	154100000.00	Comedy	 Crime	 Drama
463	The Day of the Jackal	1973	78	80	16059999	https://www.imdb.com/title/tt0069947/?ref_=adv_li_i	UK		Unknown	Nominated for 1 Oscar.	0	1	2h 23min	2.00		Crime	 Drama	 Thriller
665	The Wicker Man	1973	76	87	60000	https://www.imdb.com/title/tt0070917/?ref_=adv_li_i	UK		648416.9619	2 wins & 6 nominations.	2	6	1h 28min	11.00	-588416.96	Horror	 Mystery	 Thriller
194	Paper Moon	1973	81	77	30930000	https://www.imdb.com/title/tt0070510/?ref_=adv_li_i	USA		2500000	Won 1 Oscar.	1	0	1h 42min	4.00	28430000.00	Comedy	 Drama	
667	High Plains Drifter	1973	76	69	15700000	https://www.imdb.com/title/tt0068699/?ref_=adv_li_i	USA		5500000	0	0	0	1h 45min	7.00	10200000.00	Mystery	 Western	
272	The Exorcist	1973	80	82	232910000	https://www.imdb.com/title/tt0070047/?ref_=adv_li_i	USA		Unknown	Won 2 Oscars.	2	0	2h 2min	2.00		Horror		
120	Chinatown	1974	82	92	29200000	https://www.imdb.com/title/tt0071315/?ref_=adv_li_i	USA		6000000	Won 1 Oscar.	1	0	2h 10min	10.00	23200000.00	Drama	 Mystery	 Thriller
353	The Conversation	1974	79	85	4420000	https://www.imdb.com/title/tt0071360/?ref_=adv_li_i	USA		1600000	Nominated for 3 Oscars.	0	3	1h 53min	6.00	2820000.00	Drama	 Mystery	 Thriller
3	The Godfather: Part II	1974	90	90	57300000	https://www.imdb.com/title/tt0071562/?ref_=adv_li_i	USA		13000000	Won 6 Oscars.	6	0	3h 22min	0.00	44300000.00	Crime	 Drama	
461	Blazing Saddles	1974	78	73	119500000	https://www.imdb.com/title/tt0071230/?ref_=adv_li_i	USA		2600000	Nominated for 3 Oscars.	0	3	1h 33min	5.00	116900000.00	Comedy	 Western	
271	Young Frankenstein	1974	80	80	86300000	https://www.imdb.com/title/tt0072431/?ref_=adv_li_i	USA		2800000	Nominated for 2 Oscars.	0	2	1h 46min	0.00	83500000.00	Comedy		
270	Dog Day Afternoon	1975	80	86	50000000	https://www.imdb.com/title/tt0072890/?ref_=adv_li_i	USA		1800000	Won 1 Oscar.	1	0	2h 5min	6.00	48200000.00	Biography	 Crime	 Drama
83	Monty Python and the Holy Grail	1975	83	93	1230000	https://www.imdb.com/title/tt0071853/?ref_=adv_li_i	UK		297720.6481	2 wins & 2 nominations.	2	2	1h 31min	10.00	932279.35	Adventure	 Comedy	 Fantasy
269	Jaws	1975	80	87	260000000	https://www.imdb.com/title/tt0073195/?ref_=adv_li_i	USA		8000000	Won 3 Oscars.	3	0	2h 4min	7.00	252000000.00	Adventure	 Drama	 Thriller
18	One Flew Over the Cuckoo's Nest	1975	87	80	112000000	https://www.imdb.com/title/tt0073486/?ref_=adv_li_i	USA		4400000	Won 5 Oscars.	5	0	2h 13min	7.00	107600000.00	Drama		
268	All the President's Men	1976	80	80	70600000	https://www.imdb.com/title/tt0074119/?ref_=adv_li_i	USA		8500000	Won 4 Oscars.	4	0	2h 18min	0.00	62100000.00	Biography	 Drama	 History
82	Taxi Driver	1976	83	94	28260000	https://www.imdb.com/title/tt0075314/?ref_=adv_li_i	USA		1300000	Nominated for 4 Oscars.	0	4	1h 54min	11.00	26960000.00	Crime	 Drama	
193	Rocky	1976	81	70	117240000	https://www.imdb.com/title/tt0075148/?ref_=adv_li_i	USA		960000	Won 3 Oscars.	3	0	2h	11.00	116280000.00	Drama	 Sport	
664	The Omen	1976	76	62	4270000	https://www.imdb.com/title/tt0075005/?ref_=adv_li_i	UK		2800000	Won 1 Oscar.	1	0	1h 51min	14.00	1470000.00	Horror		
352	The Outlaw Josey Wales	1976	79	69	31800000	https://www.imdb.com/title/tt0075029/?ref_=adv_li_i	USA		3700000	Nominated for 1 Oscar.	0	1	2h 15min	10.00	28100000.00	Western		
28	Star Wars: Episode IV - A New Hope	1977	86	90	322740000	https://www.imdb.com/title/tt0076759/?ref_=adv_li_i	USA		11000000	Won 6 Oscars.	6	0	2h 1min	4.00	311740000.00	Action	 Adventure	 Fantasy
267	Annie Hall	1977	80	92	39200000	https://www.imdb.com/title/tt0075686/?ref_=adv_li_i	USA		4000000	Won 4 Oscars.	4	0	1h 33min	12.00	35200000.00	Comedy	 Romance	
561	Close Encounters of the Third Kind	1977	77	90	132090000	https://www.imdb.com/title/tt0075860/?ref_=adv_li_i	USA		20000000	Won 1 Oscar.	1	0	2h 18min	13.00	112090000.00	Drama	 Sci-Fi	
351	Dawn of the Dead	1978	79	71	5100000	https://www.imdb.com/title/tt0077402/?ref_=adv_li_i	USA		650000	2 wins & 2 nominations.	2	2	2h 7min	8.00	4450000.00	Horror	 Thriller	
460	Halloween	1978	78	81	47000000	https://www.imdb.com/title/tt0077651/?ref_=adv_li_i	USA		300000	5 wins & 2 nominations.	5	2	1h 31min	3.00	46700000.00	Horror	 Thriller	
192	The Deer Hunter	1978	81	86	48980000	https://www.imdb.com/title/tt0077416/?ref_=adv_li_i	USA		15000000	Won 5 Oscars.	5	0	3h 3min	5.00	33980000.00	Drama	 War	
663	Escape from Alcatraz	1979	76	76	43000000	https://www.imdb.com/title/tt0079116/?ref_=adv_li_i	USA		8000000	0	0	0	1h 52min	0.00	35000000.00	Biography	 Crime	 Drama
662	The Muppet Movie	1979	76	74	76660000	https://www.imdb.com/title/tt0079588/?ref_=adv_li_i	UK		Unknown	Nominated for 2 Oscars.	0	2	1h 35min	2.00		Adventure	 Comedy	 Family
265	Manhattan	1979	80	83	45700000	https://www.imdb.com/title/tt0079522/?ref_=adv_li_i	USA		9000000	Nominated for 2 Oscars.	0	2	1h 36min	3.00	36700000.00	Comedy	 Drama	 Romance
